entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-06-05 14:43:25,2026-06-05 14:45:14,BTCUSD,short,62830.21964626,63210.3840174,1000,-443.184673
2026-06-05 14:45:18,2026-06-05 14:48:17,BTCUSD,short,63135.66925242,62920.85770558,1000,151.783283
2026-06-05 14:45:04,2026-06-05 15:09:17,BTCUSD,short,63022.80106787,62816.61544341,1000,143.265916
2026-06-05 14:48:17,2026-06-05 15:35:48,BTCUSD,short,62920.85770558,62714.32359513,1000,143.71652
2026-06-05 16:08:27,2026-06-05 16:14:35,BTCUSD,long,62385.68092516,62592.87737655,1000,144.707172
2026-06-05 16:31:27,2026-06-05 17:15:00,BTCUSD,long,62405.23429329,62104.75785619,1000,-362.731433
2026-06-05 23:47:46,2026-06-05 23:56:31,BTCUSD,long,60548.26068511,60228.20644611,1000,-380.442473
2026-06-05 23:54:03,2026-06-06 00:07:15,BTCUSD,long,60341.04737303,60040.61318821,1000,-360.625015
2026-06-05 23:56:31,2026-06-06 00:13:44,BTCUSD,long,60228.20644611,59908.2912531,1000,-379.983442
2026-06-06 00:09:13,2026-06-06 00:14:07,BTCUSD,long,60179.8928599,59810.46091689,1000,-429.42712
2026-06-06 01:30:24,2026-06-06 01:33:58,BTCUSD,long,60381.53624883,60034.36373318,1000,-407.380466
2026-06-06 01:30:32,2026-06-06 01:34:02,BTCUSD,long,60324.91376313,60016.52330663,1000,-368.561175
2026-06-06 01:36:55,2026-06-06 01:38:44,BTCUSD,long,60151.38284631,60368.93295842,1000,157.289954
2026-06-06 01:36:55,2026-06-06 01:38:44,BTCUSD,long,60151.38284631,60368.93295842,1000,157.289954
2026-06-06 01:38:44,2026-06-06 01:39:01,BTCUSD,long,60368.93295842,60601.49412961,1000,172.075958
