entry_time,exit_time,symbol,side,entry_price,exit_price,qty,net_pnl
2026-04-16 15:35:22,2026-04-16 17:20:56,ETHUSD,long,2331.2861488,2333.43499012,100,-0.183519
2026-04-16 17:41:28,2026-04-16 18:10:59,ETHUSD,long,2347.72080546,2336.29547701,100,-13.767337
2026-04-16 18:36:49,2026-04-16 19:22:31,ETHUSD,long,2340.32514337,2321.46690686,100,-21.189133
2026-04-16 15:50:29,2026-04-16 19:22:53,BTCUSD,long,74368.46819231,73966.4307826,100,-47.620486
2026-04-16 19:24:46,2026-04-16 19:38:21,BTCUSD,short,73545.66415394,73869.50506912,100,-39.75485
2026-04-16 19:46:22,2026-04-16 20:16:31,BTCUSD,short,73805.04233162,73967.63025315,100,-23.647426
2026-04-16 20:28:23,2026-04-16 20:36:33,BTCUSD,short,73825.38171994,74059.53320046,100,-30.809394
2026-04-16 20:40:21,2026-04-16 20:46:42,BTCUSD,long,74322.11648798,74235.98283855,100,-16.04127
2026-04-16 19:24:15,2026-04-16 21:01:38,ETHUSD,short,2309.39648371,2321.64770658,100,-14.566745
2026-04-16 21:07:02,2026-04-16 21:19:04,ETHUSD,long,2334.23246689,2335.29857339,100,-1.268659
2026-04-16 21:01:37,2026-04-16 22:37:16,BTCUSD,long,74208.56751092,74054.72970449,100,-22.796946
2026-04-16 23:13:06,2026-04-16 23:54:18,BTCUSD,long,74349.88955489,74275.75385261,100,-14.844852
2026-04-17 00:15:13,2026-04-17 01:07:33,BTCUSD,long,74583.99367631,75094.93339478,100,43.610025
2026-04-16 21:54:11,2026-04-17 01:47:40,ETHUSD,short,2333.07815262,2360.13531435,100,-29.403768
2026-04-17 02:07:41,2026-04-17 02:47:53,ETHUSD,short,2344.13911478,2350.10194633,100,-8.309952
