time,ha_open,ha_high,ha_low,ha_close,supertrend,trend
2026-05-04 21:30:00,80049.23974036518,80259.0,80049.23974036518,80192.25,79328.85017534229,1.0
2026-05-04 21:45:00,80120.74487018259,80349.0,80120.74487018259,80238.625,79423.6531707898,1.0
2026-05-04 22:00:00,80179.6849350913,80348.0,80179.6849350913,80268.25,79483.25061020169,1.0
2026-05-04 22:15:00,80223.96746754565,80364.5,80222.0,80281.625,79547.96732839044,1.0
2026-05-04 22:30:00,80252.79623377282,80252.79623377282,80071.0,80147.875,79547.96732839044,1.0
2026-05-04 22:45:00,80200.33561688641,80200.33561688641,80014.0,80069.875,79547.96732839044,1.0
2026-05-04 23:00:00,80135.1053084432,80135.1053084432,79857.5,79947.625,79547.96732839044,1.0
2026-05-04 23:15:00,80041.3651542216,80041.3651542216,79834.5,79896.75,79547.96732839044,1.0
2026-05-04 23:30:00,79969.0575771108,79969.0575771108,79715.0,79824.0,79547.96732839044,1.0
2026-05-04 23:45:00,79896.5287885554,79896.5287885554,79720.0,79775.375,79547.96732839044,1.0
2026-05-05 00:00:00,79835.9518942777,79977.5,79761.0,79870.75,79547.96732839044,1.0
2026-05-05 00:15:00,79853.35094713885,79930.0,79812.0,79867.0,79547.96732839044,1.0
2026-05-05 00:30:00,79860.17547356943,80099.0,79812.5,79941.75,79547.96732839044,1.0
2026-05-05 00:45:00,79900.96273678471,80144.0,79900.96273678471,80079.625,79547.96732839044,1.0
2026-05-05 01:00:00,79990.29386839236,80221.0,79990.29386839236,80135.625,79547.96732839044,1.0
2026-05-05 01:15:00,80062.95943419618,80249.0,80062.95943419618,80190.5,79547.96732839044,1.0
2026-05-05 01:30:00,80126.72971709809,80288.5,80125.5,80208.125,79550.79325050472,1.0
2026-05-05 01:45:00,80167.42735854904,80343.0,80167.42735854904,80263.125,79611.95581229347,1.0
2026-05-05 02:00:00,80215.27617927452,80480.0,80215.27617927452,80363.875,79689.28886313668,1.0
2026-05-05 02:15:00,80289.57558963726,80495.5,80289.57558963726,80415.375,79738.2461678593,1.0
2026-05-05 02:30:00,80352.47529481864,80774.5,80352.47529481864,80593.25,79848.01777159149,1.0
2026-05-05 02:45:00,80472.86264740932,80871.0,80459.0,80653.625,79897.47711176396,1.0
2026-05-05 03:00:00,80563.24382370466,80690.5,80413.0,80562.75,79897.47711176396,1.0
2026-05-05 03:15:00,80562.99691185233,80823.0,80562.99691185233,80696.625,79918.30491645497,1.0
2026-05-05 03:30:00,80629.81095592616,81043.5,80629.81095592616,80841.375,80015.32457921686,1.0
2026-05-05 03:45:00,80735.59297796308,80908.0,80735.59297796308,80847.25,80030.87657349887,1.0
2026-05-05 04:00:00,80791.42148898155,80942.0,80737.5,80817.625,80066.5720760656,1.0
2026-05-05 04:15:00,80804.52324449077,80876.0,80743.0,80783.375,80073.73986845903,1.0
2026-05-05 04:30:00,80793.9491222454,80816.5,80675.0,80740.0,80073.73986845903,1.0
2026-05-05 04:45:00,80766.9745611227,80906.0,80684.0,80790.0,80094.22929345182,1.0
2026-05-05 05:00:00,80778.48728056136,80906.0,80778.48728056136,80841.5,80173.29618855572,1.0
2026-05-05 05:15:00,80809.99364028068,81154.5,80809.99364028068,80955.375,80276.84220567207,1.0
2026-05-05 05:30:00,80882.68432014034,81278.5,80882.68432014034,81060.5,80326.98330309083,1.0
2026-05-05 05:45:00,80971.59216007017,81017.0,80870.0,80950.0,80326.98330309083,1.0
2026-05-05 06:00:00,80960.79608003508,80974.0,80842.5,80911.625,80326.98330309083,1.0
2026-05-05 06:15:00,80936.21054001755,80936.21054001755,80754.5,80843.5,80326.98330309083,1.0
2026-05-05 06:30:00,80889.85527000877,80889.85527000877,80750.0,80785.5,80326.98330309083,1.0
2026-05-05 06:45:00,80837.6776350044,80942.0,80761.5,80850.0,80326.98330309083,1.0
2026-05-05 07:00:00,80843.8388175022,80981.0,80843.8388175022,80930.375,80326.98330309083,1.0
2026-05-05 07:15:00,80887.1069087511,81049.5,80887.1069087511,80981.5,80358.22261082815,1.0
2026-05-05 07:30:00,80934.30345437555,81107.5,80934.30345437555,81015.375,80419.87000430777,1.0
2026-05-05 07:45:00,80974.83922718777,81000.5,80793.5,80898.875,80419.87000430777,1.0
2026-05-05 08:00:00,80936.85711359388,80936.85711359388,80793.5,80814.125,80419.87000430777,1.0
2026-05-05 08:15:00,80875.49105679695,80875.49105679695,80764.5,80804.125,80419.87000430777,1.0
2026-05-05 08:30:00,80839.80802839847,80839.80802839847,80674.5,80754.25,80419.87000430777,1.0
2026-05-05 08:45:00,80797.02901419924,80800.0,80707.5,80747.75,80419.87000430777,1.0
2026-05-05 09:00:00,80772.38950709962,80776.0,80629.5,80703.75,80419.87000430777,1.0
2026-05-05 09:15:00,80738.06975354982,80738.06975354982,80556.0,80614.5,80419.87000430777,1.0
2026-05-05 09:30:00,80676.28487677491,80676.28487677491,80515.0,80589.625,80419.87000430777,1.0
2026-05-05 09:45:00,80632.95493838745,80632.95493838745,80480.5,80540.625,80419.87000430777,1.0
2026-05-05 10:00:00,80586.78996919372,80684.0,80488.0,80589.0,80419.87000430777,1.0
2026-05-05 10:15:00,80587.89498459686,80718.0,80587.89498459686,80669.5,80419.87000430777,1.0
2026-05-05 10:30:00,80628.69749229844,80789.5,80628.69749229844,80739.25,80419.87000430777,1.0
2026-05-05 10:45:00,80683.97374614922,80789.0,80682.5,80759.0,80419.87000430777,1.0
2026-05-05 11:00:00,80721.48687307461,80940.0,80721.48687307461,80840.125,80419.87000430777,1.0
2026-05-05 11:15:00,80780.8059365373,80934.0,80773.0,80878.375,80419.87000430777,1.0
2026-05-05 11:30:00,80829.59046826865,81063.0,80829.59046826865,80960.375,80425.1812681112,1.0
2026-05-05 11:45:00,80894.98273413433,81022.0,80824.0,80952.375,80425.1812681112,1.0
2026-05-05 12:00:00,80923.67886706717,81098.0,80879.0,81000.625,80447.23768752126,1.0
2026-05-05 12:15:00,80962.15193353358,81200.0,80962.15193353358,81111.125,80522.585465596,1.0
2026-05-05 12:30:00,81036.63846676679,81258.0,81036.63846676679,81201.125,80578.26932235973,1.0
2026-05-05 12:45:00,81118.8817333834,81258.0,81118.8817333834,81220.0,80634.56046678542,1.0
2026-05-05 13:00:00,81169.4408666917,81627.5,81169.4408666917,81410.375,80762.56033343771,1.0
2026-05-05 13:15:00,81289.90793334585,81657.0,81289.90793334585,81501.5,80791.00725675935,1.0
2026-05-05 13:30:00,81395.70396667293,81493.5,81150.0,81354.25,80791.00725675935,1.0
2026-05-05 13:45:00,81374.97698333647,81614.5,81136.0,81347.875,80791.00725675935,1.0
2026-05-05 14:00:00,81361.42599166823,81393.5,81032.0,81190.0,80791.00725675935,1.0
2026-05-05 14:15:00,81275.71299583412,81407.5,80889.0,81176.0,80791.00725675935,1.0
2026-05-05 14:30:00,81225.85649791706,81459.0,81070.5,81269.125,80791.00725675935,1.0
2026-05-05 14:45:00,81247.49074895853,81351.0,81068.0,81222.75,80791.00725675935,1.0
2026-05-05 15:00:00,81235.12037447927,81616.0,81183.5,81397.625,80791.00725675935,1.0
2026-05-05 15:15:00,81316.37268723964,81621.0,81316.37268723964,81542.5,80791.00725675935,1.0
2026-05-05 15:30:00,81429.43634361982,81623.5,81429.43634361982,81565.625,80791.00725675935,1.0
2026-05-05 15:45:00,81497.53067180992,81642.0,81472.5,81546.375,80791.00725675935,1.0
2026-05-05 16:00:00,81521.95283590496,81580.0,81376.0,81461.875,80791.00725675935,1.0
2026-05-05 16:15:00,81491.91391795248,81511.5,81281.0,81390.625,80791.00725675935,1.0
2026-05-05 16:30:00,81441.26945897624,81441.26945897624,81000.5,81192.875,80791.00725675935,1.0
2026-05-05 16:45:00,81317.07222948811,81317.07222948811,81009.5,81133.75,80791.00725675935,1.0
2026-05-05 17:00:00,81225.41111474406,81330.5,81131.5,81247.875,80791.00725675935,1.0
